"","X","value","date","station","datatype","day","hour"
"185","2016-08-05 09:00:00",78,2016-08-05 05:00:00,"KTPA","Forecast",2016-08-05,5
"186","2016-08-05 10:00:00",78,2016-08-05 06:00:00,"KTPA","Forecast",2016-08-05,6
"187","2016-08-05 11:00:00",78,2016-08-05 07:00:00,"KTPA","Forecast",2016-08-05,7
"188","2016-08-05 12:00:00",79,2016-08-05 08:00:00,"KTPA","Forecast",2016-08-05,8
"189","2016-08-05 13:00:00",82,2016-08-05 09:00:00,"KTPA","Forecast",2016-08-05,9
"190","2016-08-05 14:00:00",83,2016-08-05 10:00:00,"KTPA","Forecast",2016-08-05,10
"191","2016-08-05 15:00:00",85,2016-08-05 11:00:00,"KTPA","Forecast",2016-08-05,11
"192","2016-08-05 16:00:00",86,2016-08-05 12:00:00,"KTPA","Forecast",2016-08-05,12
"193","2016-08-05 17:00:00",87,2016-08-05 13:00:00,"KTPA","Forecast",2016-08-05,13
"194","2016-08-05 18:00:00",88,2016-08-05 14:00:00,"KTPA","Forecast",2016-08-05,14
"195","2016-08-05 19:00:00",87,2016-08-05 15:00:00,"KTPA","Forecast",2016-08-05,15
"196","2016-08-05 20:00:00",87,2016-08-05 16:00:00,"KTPA","Forecast",2016-08-05,16
"197","2016-08-05 21:00:00",87,2016-08-05 17:00:00,"KTPA","Forecast",2016-08-05,17
"198","2016-08-05 22:00:00",87,2016-08-05 18:00:00,"KTPA","Forecast",2016-08-05,18
"199","2016-08-05 23:00:00",86,2016-08-05 19:00:00,"KTPA","Forecast",2016-08-05,19
"200","2016-08-06 00:00:00",84,2016-08-05 20:00:00,"KTPA","Forecast",2016-08-05,20
"201","2016-08-06 01:00:00",83,2016-08-05 21:00:00,"KTPA","Forecast",2016-08-05,21
"202","2016-08-06 02:00:00",82,2016-08-05 22:00:00,"KTPA","Forecast",2016-08-05,22
"203","2016-08-06 03:00:00",81,2016-08-05 23:00:00,"KTPA","Forecast",2016-08-05,23
"204","2016-08-06 04:00:00",81,2016-08-06 00:00:00,"KTPA","Forecast",2016-08-06,0
"205","2016-08-06 05:00:00",80,2016-08-06 01:00:00,"KTPA","Forecast",2016-08-06,1
"206","2016-08-06 06:00:00",80,2016-08-06 02:00:00,"KTPA","Forecast",2016-08-06,2
"207","2016-08-06 07:00:00",79,2016-08-06 03:00:00,"KTPA","Forecast",2016-08-06,3
"208","2016-08-06 08:00:00",79,2016-08-06 04:00:00,"KTPA","Forecast",2016-08-06,4
"209","2016-08-06 09:00:00",79,2016-08-06 05:00:00,"KTPA","Forecast",2016-08-06,5
"210","2016-08-06 10:00:00",79,2016-08-06 06:00:00,"KTPA","Forecast",2016-08-06,6
"211","2016-08-06 11:00:00",79,2016-08-06 07:00:00,"KTPA","Forecast",2016-08-06,7
"212","2016-08-06 12:00:00",81,2016-08-06 08:00:00,"KTPA","Forecast",2016-08-06,8
"213","2016-08-06 13:00:00",83,2016-08-06 09:00:00,"KTPA","Forecast",2016-08-06,9
"214","2016-08-06 14:00:00",84,2016-08-06 10:00:00,"KTPA","Forecast",2016-08-06,10
"215","2016-08-06 15:00:00",86,2016-08-06 11:00:00,"KTPA","Forecast",2016-08-06,11
"216","2016-08-06 16:00:00",87,2016-08-06 12:00:00,"KTPA","Forecast",2016-08-06,12
"217","2016-08-06 17:00:00",88,2016-08-06 13:00:00,"KTPA","Forecast",2016-08-06,13
"218","2016-08-06 18:00:00",88,2016-08-06 14:00:00,"KTPA","Forecast",2016-08-06,14
"219","2016-08-06 19:00:00",88,2016-08-06 15:00:00,"KTPA","Forecast",2016-08-06,15
"220","2016-08-06 20:00:00",88,2016-08-06 16:00:00,"KTPA","Forecast",2016-08-06,16
"221","2016-08-06 21:00:00",87,2016-08-06 17:00:00,"KTPA","Forecast",2016-08-06,17
"222","2016-08-06 22:00:00",87,2016-08-06 18:00:00,"KTPA","Forecast",2016-08-06,18
"223","2016-08-06 23:00:00",86,2016-08-06 19:00:00,"KTPA","Forecast",2016-08-06,19
